Program Type,Community Type,Revitalizations ,,Street Address,City Jurisdiction,,Management Agent,Community Name,Property Type,PHA,RAD/PBV,HomeFlex,HomeFlex/Haven,VMS Reporting Total Available HomeFlex Units ,LIHTC,Market,"Other (EE/Officer, Voucher, Other PHA )",TOTAL Units,% Subsidized
HomeFlex,Developments,,,3537 MLK Jr Drive,Atlanta,1,Mercy Housing,Adamsville Green ,Haven, 	-   , 	-   ,35,46,, 	- 0, 	9 , 	- 0,9,900.0%
HomeFlex,Developments,,,5150 Thompson Road,Fairburn,1,Ambling,Arcadia at Parkway Village ,Family, 	-   , 	-   ,116, 	-   ,, 	71 , 	29 , 	76 ,176,65.9%
HomeFlex,Developments,,,500 Cleveland Avenue,Atlanta,1,Ambling,Ashton at Browns Mill  ,Haven, 	-   , 	-   ,74,5,, 	- 0, 	21 , 	- 0,21,376.2%
HomeFlex,Developments,,,49 Boulevard SE,Atlanta,1,Cortland Partners,Auburn Glenn ,Family, 	-   , 	-   ,108, 	-   ,, 	97 , 	66 , 	- 0,163,66.3%
HomeFlex,Developments,,,2798 Peek Road,Atlanta,1,Cortland Partners,Avalon Park Family ,Family, 	-   , 	-   ,53, 	-   ,, 	77 , 	45 , 	- 0,122,43.4%
HomeFlex,Developments,,,2748 Donald L. Hollowell Parkway,Atlanta,1,Cortland Partners,Avalon Park Senior ,Senior, 	-   , 	-   ,136, 	-   ,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,183 Mt. Zion Road,Atlanta,1,Cortland Partners,Avalon Ridge Family ,Family, 	-   , 	-   ,89, 	-   ,, 	110 , 	23 , 	- 0,133,66.9%
HomeFlex,Developments,,,2911 Pharr Court NW,Atlanta,1,Campbell Stone,Campbell Stone ,Senior, 	-   , 	-   ,236, 	-   ,, 	106 , 	- 0, 	- 0,106,222.6%
HomeFlex,Developments,,,1150 Astor Avenue,Atlanta,1,Columbia,Columbia at Sylvan Hills ,Haven, 	-   , 	-   ,37,39,, 	77 , 	38 , 	- 0,115,66.1%
HomeFlex,Developments,,,2999 Continental Colony Parkway,Atlanta,1,Columbia,Columbia Colony Senior ,Senior, 	-   , 	-   ,62, 	-   ,, 	37 , 	21 , 	1 ,59,105.1%
HomeFlex,Developments,,,14 Meldon Avenue,Atlanta,1,Columbia,Columbia Senior Residences at Blackshear ,Senior, 	-   , 	-   ,78, 	-   ,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,1281 Caroline Street,Atlanta,1,Columbia - AHP,Columbia Senior Residences at Edgewood ,Senior, 	-   , 	-   ,135, 	-   ,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,3450 Forrest Park Road SE,Atlanta,1,Columbia,Columbia South River Gardens,Family, 	-   , 	-   ,51, 	-   ,, 	73 , 	- 0, 	- 0,73,69.9%
HomeFlex,Developments,,,960 Constitution Avenue,Atlanta,1,Columbia,Constitution Avenue Apartments ,Family, 	-   , 	-   ,67, 	-   ,, 	99 , 	- 0, 	2 ,101,66.3%
HomeFlex,Developments,,,1093 West Avenue,Atlanta,1,CF Lane,Crogman School Apartments ,Family, 	-   , 	-   , 	- 0, 	-   ,, 	43 , 	17 , 	45 ,105,0.0%
HomeFlex,Developments,,,1311 East Cleveland Avenue,East Point,1,Ledic Management,Gateway at East Point,Senior, 	-   , 	-   ,100, 	-   ,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,490 Glenn Street,Atlanta,1,Signature Management,GE Tower ,Family, 	-   , 	-   ,189, 	-   ,, 	- 0, 	6 , 	6 ,12,1575.0%
HomeFlex,Developments,,,2891 Springdale Road,Atlanta,1,Ledic Management,Heritage Green ,Family, 	-   , 	-   ,44, 	-   ,, 	43 , 	22 , 	- 0,65,67.7%
HomeFlex,Developments,,,765 McDaniel Street,Atlanta,1,Cortland Partners,Heritage Station I  ,Family, 	-   , 	-   ,88, 	-   ,, 	41 , 	91 , 	- 0,132,66.7%
HomeFlex,Developments,,,765 McDaniel Street,Atlanta,,Cortland Partners,Heritage Station II  ,Senior, 	-   , 	-   ,150, 	-   ,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,40 Mount Zion Road,Atlanta,1,McCormack Baron management,Highbury Terraces ,Family, 	-   , 	-   ,0, 	-   ,, 	- 0, 	27 , 	17 ,44,0.0%
HomeFlex,Developments,,,356 Peachtree Center Avenue,Atlanta,,National Church Residences,Imperial Hotel,Haven, 	-   , 	-   , 	-   ,90,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,1671 James Jackson Parkway NW,Atlanta,1,Ledic Management,Manor at Scott's Crossing,Senior, 	-   , 	-   ,100, 	-   ,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,605 Spencer Street NW,Atlanta,1,Community Concerns,Odyssey at Villas ,Haven, 	-   , 	-   , 	-   ,32,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,16 Wm. Holmes Borders Drive,Atlanta,1,Project Interconnections,O'Hern House,Haven, 	-   , 	-   , 	-   ,76,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,200 Peyton Place,Atlanta,1,Columbia,Park Commons/Gates Park (HFOP) ,Haven, 	-   , 	-   ,130,22,, 	22 , 	5 , 	- 0,27,563.0%
HomeFlex,Developments,,,150 Peyton Place,Atlanta,1,Columbia,Park Commons/Gates Park (HFS) ,Haven, 	-   , 	-   ,110,19,, 	19 , 	5 , 	- 0,24,537.5%
HomeFlex,Developments,Capitol Homes,,380 Martin Street,Atlanta,,Columbia,Columbia Tower at MLK Village,Haven, 	-   , 	-   ,56,39,, 	- 0, 	- 0, 	- 0,0 ,
HomeFlex,Sponsored,Capitol Homes,,125 Logan Street,Atlanta,,Columbia,Columbia Senior Residences at MLK,Senior, 	-   , 	-   ,122, 	-   ,, 	- 0, 	- 0, 	- 0,0 ,
HomeFlex,Developments,,,532 Cleveland Avenue,Atlanta,1,"The Partnership, Inc",Pavilion Place,Haven, 	-   , 	-   , 	-   , 	-   ,, 	144 , 	95 , 	1 ,240,0.0%
HomeFlex,Developments,,,"2423 Martin Luther King, Jr. Drive",Atlanta,1,Ledic Management,Peaks at MLK ,Family, 	-   , 	-   ,73, 	-   ,, 	44 , 	46 , 	20 ,110,66.4%
HomeFlex,Developments,,,150 Hutchinson Street NE,Atlanta,1,Columbia,Retreat at Edgewood,Family, 	-   , 	-   ,40, 	-   ,, 	60 , 	- 0, 	- 0,60,66.7%
HomeFlex,Developments,,,"2800 Martin Luther King, Jr. Drive",Atlanta,1,"The Partnership, Inc",Seven Courts ,Haven, 	-   , 	-   , 	-   ,30,, 	141 , 	- 0, 	- 0,141,21.3%
HomeFlex,Developments,,,2045 Graham Circle,Atlanta,1,Horizonz,Summit Trail ,Haven, 	-   , 	-   , 	-   ,40,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,4725 Walton Crossing,Atlanta,1,Walton Lakes,The Legacy at Walton Lakes ,Senior, 	-   , 	-   ,24, 	-   ,, 	48 , 	38 , 	- 0,86,27.9%
HomeFlex,Developments,,,240 Amal Drive,Atlanta,1,Mercy Housing,The Renaissance at Park Place South Senior ,Senior, 	-   , 	-   ,100, 	-   ,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,385 Holly Street NW,Atlanta,1,H.O.P.E. Through Divine Intervention,Villas of H.O.P.E. ,Haven, 	-   , 	-   , 	-   ,36,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,234 Memorial Drive,Atlanta,1,PRISM Realty Management,Welcome House,Haven, 	-   , 	-   , 	-   ,41,, 	88 , 	- 0, 	80 ,168,24.4%
HomeFlex,Developments,,,5151 Thompson Road,Fairburn,1,Dorchester Management,Woodbridge at Parkway Village ,Senior, 	-   , 	-   ,98, 	-   ,, 	- 0, 	- 0, 	52 ,52,188.5%
HomeFlex,Developments,,,878 Rock Street ,Atlanta,,Integral Property Management,Quest Villages III,Haven, 	-   , 	-   , 	-   ,10,, 	17 , 	- 0, 	1 ,18,55.6%
HomeFlex,Developments,,,3724 Martin Luther King Jr. Drive,Atlanta,,Lincoln Property Company,Martin House at Adamsville,Senior, 	-   , 	-   ,114 , 	- 0,, 	- 0, 	14 , 	25 ,39,292.3%
HomeFlex,Developments,,,1830 Campbellton Road,Atlanta,,Ledic Management,Lillie R. Campbell House,Senior, 	-   , 	-   ,65 , 	- 0,, 	- 0, 	9 , 	22 ,31,209.7%
HomeFlex,Developments,,,5095 Southwood Road,Fairburn,,Dorchester Management,Providence at Parkway Village,Senior, 	-   , 	-   ,50 , 	- 0,, 	- 0, 	- 0, 	100 ,100,50.0%
HomeFlex,Developments,,,"695 Field Street, SE",Atlanta,,Mercy Housing,Reynoldstown Senior Residences,Senior, 	-   , 	-   ,26 , 	- 0,, 	43 , 	- 0, 	1 ,44,59.1%
HomeFlex,Developments,,,2141 SW Springdale Road ,Atlanta,,,Lakewood at Christian Manor,Senior, 	-   , 	-   ,199 , 	- 0,, 	50 , 	- 0, 	1 ,51,390.2%
HomeFlex,Developments,,,735 Myrtle Street,Roswell,,,Veranda at Groveway ,Senior, 	-   , 	-   ,74 , 	- 0,, 	8 , 	20 , 	- 0,28,264.3%
HomeFlex,Developments,,,"954 Hightower Road, NW",Atlanta,,,The Remington Apartments,Senior, 	-   , 	-   ,160 , 	- 0,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,1296 Murphy Ave ,Atlanta,,,Phoenix House,Haven, 	-   , 	-   ,44 , 	- 0,, 	25 , 	- 0, 	- 0,25,176.0%
HomeFlex,Developments,,,"1374 Murphy Ave, SW",Atlanta,,,Gateway at Capitol View,Senior, 	-   , 	-   ,162 , 	- 0,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,3884 Durham Park Road,Stone Mountain,,,Manor at Indian Creek II,Senior, 	-   , 	-   ,75 , 	- 0,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,"2745 Old Hapeville Road, SW ",Atlanta,,,Summerdale Commons,Family, 	-   , 	-   ,50 , 	- 0,, 	- 0, 	50 , 	- 0,50,100.0%
HomeFlex,Developments,,,2654 DeKalb Medical Parkway,Lithonia,,,Brightstone Apartments,Senior, 	-   , 	-   ,175 , 	- 0,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,2536 Mellville Avenue,Decatur,,,Sterling at Candler Village,Senior, 	-   , 	-   ,170 , 	- 0,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,575 Foundry Street,Atlanta,,,Legacy at Vine City,Senior, 	-   , 	-   ,105 , 	- 0,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,669 Atlanta Student Movement Blvd,Atlanta,,,Ashley Scholars Landing I,Family, 	-   , 	-   ,54 , 	- 0,, 	- 0, 	27 , 	54 ,81,66.7%
HomeFlex,Developments,,,2475 Old Hapeville Road,Atlanta,,,Springview Apartments,Family, 	-   , 	-   ,24 , 	- 0,, 	- 0, 	120 , 	- 0,120,20.0%
HomeFlex,Developments,,,340 Dixie Hills Circle NW,Atlanta,,,Dwell at Alcove,Haven, 	-   , 	-   , 	-   , 	9 ,, 	- 0, 	10 , 	- 0,10,90.0%
HomeFlex,Developments,,,464 Cameron M Alexander Bld NW,Atlanta,,,Herndon Square Senior,Senior, 	-   , 	-   ,97 , 	- 0,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,308 Scott Street SW,Atlanta,,,London Townhomes,Family, 	-   , 	-   ,80 , 	- 0,, 	30 , 	20 , 	- 0,50,160.0%
HomeFlex,Developments,,,1191 Metropolitan Parkway ,Atlanta,,,Capitol Gateway ,Haven, 	-   , 	-   ,32 , 	17 ,, 	53 , 	- 0, 	- 0,53,92.5%
,,,,,,,,,,,,,,,,,,,
