Name,Address Line 1,Address Line 2,,
101 Sunset Ave,101 Sunset Ave NW,"Atlanta, GA 30314",,
1054/1058 RIDGE,1054 and 1058 RIDGE AVE SW,"Atlanta, GA 30315",,
1115 Ponce,1115 Ponce Deleon Ave,"Atlanta, GA 30306",,
12TH & JAMES LUXURY (PEAKS@WEST ATL),1212 James Jackson Pkwy,"ATLANTA, GA 30318",,
166 Anderson,166 Anderson Avenue,"Atlanta, GA 30314",,
1890 HOUSE APARTMENTS,1890 MYRTLE DR SW,"Atlanta, GA 30311",,
2037 Joseph E. Boone,2037 Joseph E. Boone Ave,"ATLANTA, GA 30314",,
216 Andrew Hairston,216 Andrew Hairston Blvd,"ATLANTA, GA 30314",,
221 Dodd Avenue,221 Dodd Street,"Atlanta, GA 30315",,
2811 DEERWOOD LANE,2830 DEERWOOD LN SW,"ALTANTA, GA 30331",,
294 Penelope,294 Penelope St,"Atlanta, GA 30314",,
301 Glen Iris Drive,301 GLEN IRIS DR NE,"ATLANTA, GA 30312",,
314th 5th Street,314 5th Street,"Atlanta, GA 30318",,
359 Lanier Street,359 Lanier Street,"Atlanta, GA 30318",,
395 Brawley,395 James P. Brawley Drive NW,"Atlanta, GA 30314",,
407 Sunset,407 Sunset Avenue,"Atlanta, GA 30314",,
4282 ROSWELL ROAD,4282 ROSWELL RD,"ATLANTA, GA 30342",,
478 NORTH HIGHLAND,478 NORTH HIGHLAND AVE,"Atlanta, GA 30307",,
496 LINDSAY,496 LINDSAY STREET,"Atlanta, GA 30314",,
583 Paines Avenue,583 Paines Avenue NW,"Atlanta, GA 30318",,
600 PARKWAY DRIVE,600 PARKWAY DR NE,"Atlanta, GA 30308",,
615 Oliver Street,615 Oliver St,"Atlanta, GA 30318",,
623 Griffin Street (Anova Apt),623 Griffin Street,"Atlanta, GA 30318",,
625 Jett Street,625 Jett Street,"Atlanta, GA 30318",,
635 JETT STREET,635 JETT STREET,"Atlanta, GA 30318",,
641 JONES AVENUE,641 JONES AVENUE NW,"ATLANTA, GA 30314",,
669 Boulevard,669 Boulevard NE,"Atlanta, GA 30308",,
740 Cooper Street (Oliver Park),740 Cooper Street,"Atlanta, GA 30315",,
876 Washington Street,876 Washington Street,"Atlanta, GA 30315",,
925 Conley - Conley Square,925 Conley Rd SE,"Atlanta, GA 30354",,
960 GREENWOOD AVE,960 GREENWOOD AVE,"Atlanta, GA 30306",,
ABBINGTON ON CHESHIRE BRIDGE,2070 CHESHIRE BRIDGE RD. NE,"ATLANTA, GA 30324",,
ABERNATHY TOWERS,1059 Oglethorpe Ave SW,"Atlanta, GA 30310",,
Academy Lofts,711 Catherine Street,"Atlanta, GA 30310",,
Adair Court,806 Murphy Avenue SW,"Atlanta, Georgia 30310",,
ADAMS HOUSE APARTMENTS,2280 Campbellton Rd.,"ATLANTA, GA 30311",,
ADDISON AT CASCADE,1768 Devon Dr SW,"ATLANTA, GA 30311",,
Amli Buckhead,3450 Roxboro Rd NE,"Atlanta, GA 30326",,
Amli Lenox,3478 Lakeside Dr NE,"Atlanta, GA 30326",,
Amli Lindbergh,2400 Parkland Drive NE,"Atlanta, GA 30324",,
