year,variable,estimate,moe
2009,"Less than $50,000",673468,14025.250336446761
2009,"$100,000 to $149,999",207098,6808.503506645201
2009,"$150,000 to $199,999",85074,4070.460907563172
2009,"$200,000 or more",89176,4254.387970084534
2009,"$50,000 to $74,999",287481,8685.583342528007
2009,"$75,000 to $99,999",198065,7213.441134437849
2010,"Less than $50,000",703538,14546.35352932136
2010,"$100,000 to $149,999",204312,7029.691885139775
2010,"$150,000 to $199,999",83789,4514.490779700408
2010,"$200,000 or more",77920,4058.0166337756673
2010,"$50,000 to $74,999",278198,8863.101940065904
2010,"$75,000 to $99,999",187849,6946.4218127032855
2011,"Less than $50,000",718204,17449.2928223467
2011,"$100,000 to $149,999",207985,9051.97298935431
2011,"$150,000 to $199,999",83240,5476.942121293597
2011,"$200,000 or more",82890,5147.920162551086
2011,"$50,000 to $74,999",283003,11073.9012999033
2011,"$75,000 to $99,999",176564,8273.301275790698
2012,"Less than $50,000",701785,14777.945154858304
2012,"$100,000 to $149,999",209570,7366.356833605062
2012,"$150,000 to $199,999",91960,5107.334138276054
2012,"$200,000 or more",98480,4784.5496130774945
2012,"$50,000 to $74,999",283649,9106.299303229605
2012,"$75,000 to $99,999",187558,7006.069368768768
2013,"Less than $50,000",703869,15418.799304744842
2013,"$100,000 to $149,999",217490,7812.612751186379
2013,"$150,000 to $199,999",91631,4931.8764177542
2013,"$200,000 or more",98212,4210.53405163763
2013,"$50,000 to $74,999",289727,9871.370877441492
2013,"$75,000 to $99,999",197658,7291.694178995715
2014,"Less than $50,000",697773,14798.786673237775
2014,"$100,000 to $149,999",221624,7817.004605345964
2014,"$150,000 to $199,999",98381,4887.738434081758
2014,"$200,000 or more",111523,4658.740065725925
2014,"$50,000 to $74,999",291831,9284.899514803594
2014,"$75,000 to $99,999",199324,7347.276774424658
2015,"Less than $50,000",674092,14708.782954411967
2015,"$100,000 to $149,999",250296,8064.799067552768
2015,"$150,000 to $199,999",105468,5113.119106768392
2015,"$200,000 or more",118718,4741.614914773236
2015,"$50,000 to $74,999",309528,9838.684058348454
2015,"$75,000 to $99,999",204604,7253.191090823404
2016,"Less than $50,000",647291,14964.549575580282
2016,"$100,000 to $149,999",257365,8733.584888234613
2016,"$150,000 to $199,999",114479,5457.340469496108
2016,"$200,000 or more",138809,5909.2575675798735
2016,"$50,000 to $74,999",310382,10329.788090759655
2016,"$75,000 to $99,999",222011,8383.106763008569
2017,"Less than $50,000",629525,15228.511253566448
2017,"$100,000 to $149,999",269936,8945.848925619077
2017,"$150,000 to $199,999",126198,5161.806079271092
2017,"$200,000 or more",152678,5427.831795477822
2017,"$50,000 to $74,999",313603,10841.963798131776
2017,"$75,000 to $99,999",226478,8306.074162924384
2018,"Less than $50,000",603490,14995.81291561081
2018,"$100,000 to $149,999",292044,9458.63637106322
2018,"$150,000 to $199,999",137541,6393.133816838186
2018,"$200,000 or more",179819,6336.580623648689
2018,"$50,000 to $74,999",308483,10033.21937366068
2018,"$75,000 to $99,999",227432,8923.17096104294
2019,"Less than $50,000",592291,16401.438503984948
2019,"$100,000 to $149,999",301530,10769.570047128158
2019,"$150,000 to $199,999",152714,7095.333818785413
2019,"$200,000 or more",199469,7109.457152272598
2019,"$50,000 to $74,999",315110,11775.810248131549
2019,"$75,000 to $99,999",231446,9371.210700864644
