year,GEOID,county,variable,estimate,moe
2009,13057,Cherokee County,"Less than $50,000",27116,2694.9064918842732
2009,13057,Cherokee County,"$100,000 to $149,999",11109,1588.4948851035058
2009,13057,Cherokee County,"$150,000 to $199,999",5141,1135
2009,13057,Cherokee County,"$200,000 or more",2988,898
2009,13057,Cherokee County,"$50,000 to $74,999",14910,2070.574074985003
2009,13057,Cherokee County,"$75,000 to $99,999",12710,1750
2009,13057,Cherokee County,Total,73974,1856
2009,13063,Clayton County,"Less than $50,000",49856,3980.2840350909632
2009,13063,Clayton County,"$100,000 to $149,999",4874,1056.9862818409708
2009,13063,Clayton County,"$150,000 to $199,999",1382,641
2009,13063,Clayton County,"$200,000 or more",563,346
2009,13063,Clayton County,"$50,000 to $74,999",20454,2417.211823568634
2009,13063,Clayton County,"$75,000 to $99,999",8627,1393
2009,13063,Clayton County,Total,85756,2460
2009,13067,Cobb County,"Less than $50,000",98994,5162.6859288552505
2009,13067,Cobb County,"$100,000 to $149,999",38375,2783.191333703093
2009,13067,Cobb County,"$150,000 to $199,999",18113,1821
2009,13067,Cobb County,"$200,000 or more",16246,1787
2009,13067,Cobb County,"$50,000 to $74,999",44617,3292.2735305560504
2009,13067,Cobb County,"$75,000 to $99,999",34552,3083
2009,13067,Cobb County,Total,250897,3126
2009,13089,DeKalb County,"Less than $50,000",135903,6290.047535591444
2009,13089,DeKalb County,"$100,000 to $149,999",30693,2705.618228797256
2009,13089,DeKalb County,"$150,000 to $199,999",11801,1630
2009,13089,DeKalb County,"$200,000 or more",12754,1602
2009,13089,DeKalb County,"$50,000 to $74,999",51129,3619.9541433559625
2009,13089,DeKalb County,"$75,000 to $99,999",30298,2803
2009,13089,DeKalb County,Total,272578,5098
2009,13097,Douglas County,"Less than $50,000",21796,2762.138302113057
2009,13097,Douglas County,"$100,000 to $149,999",6029,1195.0702908197493
2009,13097,Douglas County,"$150,000 to $199,999",1543,559
2009,13097,Douglas County,"$200,000 or more",1214,617
2009,13097,Douglas County,"$50,000 to $74,999",7449,1325.6488977100987
2009,13097,Douglas County,"$75,000 to $99,999",5052,1080
2009,13097,Douglas County,Total,43083,1635
2009,13113,Fayette County,"Less than $50,000",10942,1537.291774517772
2009,13113,Fayette County,"$100,000 to $149,999",6140,993.3121362391582
2009,13113,Fayette County,"$150,000 to $199,999",3186,784
2009,13113,Fayette County,"$200,000 or more",2811,693
2009,13113,Fayette County,"$50,000 to $74,999",6864,1077.8000742252711
2009,13113,Fayette County,"$75,000 to $99,999",6949,1258
2009,13113,Fayette County,Total,36892,888
2009,13117,Forsyth County,"Less than $50,000",17133,2325.3425554098476
2009,13117,Forsyth County,"$100,000 to $149,999",13289,1399.485619790357
2009,13117,Forsyth County,"$150,000 to $199,999",5443,1091
2009,13117,Forsyth County,"$200,000 or more",4610,796
2009,13117,Forsyth County,"$50,000 to $74,999",9104,1513.2111551267392
2009,13117,Forsyth County,"$75,000 to $99,999",9565,1574
2009,13117,Forsyth County,Total,59144,1411
2009,13121,Fulton County,"Less than $50,000",165869,7147.344331987931
2009,13121,Fulton County,"$100,000 to $149,999",48217,3720.86468445172
2009,13121,Fulton County,"$150,000 to $199,999",21732,1919
2009,13121,Fulton County,"$200,000 or more",35791,2603
2009,13121,Fulton County,"$50,000 to $74,999",59115,4400.764592658871
2009,13121,Fulton County,"$75,000 to $99,999",36997,3513
2009,13121,Fulton County,Total,367721,5469
2009,13135,Gwinnett County,"Less than $50,000",107542,5514.499070631892
2009,13135,Gwinnett County,"$100,000 to $149,999",34880,2444.49299446736
2009,13135,Gwinnett County,"$150,000 to $199,999",12798,1579
2009,13135,Gwinnett County,"$200,000 or more",10676,1706
2009,13135,Gwinnett County,"$50,000 to $74,999",53123,3490.3034252053217
2009,13135,Gwinnett County,"$75,000 to $99,999",37742,3002
2009,13135,Gwinnett County,Total,256761,3412
2009,13151,Henry County,"Less than $50,000",23579,2564.4927373654227
2009,13151,Henry County,"$100,000 to $149,999",9963,1663.9498189548867
2009,13151,Henry County,"$150,000 to $199,999",2714,661
2009,13151,Henry County,"$200,000 or more",1195,390
2009,13151,Henry County,"$50,000 to $74,999",15284,1856.6951823064549
2009,13151,Henry County,"$75,000 to $99,999",11701,1508
2009,13151,Henry County,Total,64436,1777
2009,13247,Rockdale County,"Less than $50,000",14738,1978.306093606346
2009,13247,Rockdale County,"$100,000 to $149,999",3529,828.3290409010178
2009,13247,Rockdale County,"$150,000 to $199,999",1221,408
2009,13247,Rockdale County,"$200,000 or more",328,285
