GEOID,year,cluster,cluster_labels
13057090100,2001,Mostly forest / farmland,1
13057090100,2019,Mostly forest / farmland,1
13057090200,2001,Mostly forest / farmland,1
13057090200,2019,Mostly forest / farmland,1
13057090300,2001,Mostly forest / farmland,1
13057090300,2019,Mostly forest / farmland,1
13057090400,2001,Mostly forest / farmland,1
13057090400,2019,Mostly forest / farmland,1
13057090501,2001,Mostly forest / farmland,1
13057090501,2019,Mostly forest / farmland,1
13057090502,2001,Mostly forest / farmland,1
13057090502,2019,Mostly forest / farmland,1
13057090601,2001,Mostly forest / farmland,1
13057090601,2019,Mostly forest / some developed open + low intensity space,2
13057090602,2001,Mostly forest / farmland,1
13057090602,2019,Mostly forest / farmland,1
13057090701,2001,Mostly forest / farmland,1
13057090701,2019,Mostly forest / some developed open + low intensity space,2
13057090702,2001,Mostly forest / some developed open + low intensity space,2
13057090702,2019,Mostly forest / some developed open + low intensity space,2
13057090802,2001,Mostly forest / farmland,1
13057090802,2019,Mostly forest / farmland,1
13057090803,2001,Mostly forest / farmland,1
13057090803,2019,Mostly forest / some developed open + low intensity space,2
13057090804,2001,Mostly forest / farmland,1
13057090804,2019,Mostly forest / farmland,1
13057090901,2001,Mostly forest / farmland,1
13057090901,2019,Mostly forest / some developed open + low intensity space,2
13057090902,2001,Mostly forest / farmland,1
13057090902,2019,Mostly developed open + low intensity / some forest,3
13057090904,2001,Mostly forest / some developed open + low intensity space,2
13057090904,2019,Mostly developed open + low intensity / some forest,3
13057090905,2001,Mostly developed open + low intensity / some forest,3
13057090905,2019,Mostly developed open + low intensity / some forest,3
13057091001,2001,Mostly forest / some developed open + low intensity space,2
13057091001,2019,Mostly developed space (all intensities) / some forest,4
13057091003,2001,Mostly developed open + low intensity / some forest,3
13057091003,2019,Mostly developed open + low intensity / some forest,3
13057091005,2001,Mostly developed open + low intensity / some forest,3
13057091005,2019,Mostly developed open + low intensity / some forest,3
13057091006,2001,"Mostly developed open + low intensity, little medium/high",5
13057091006,2019,"Mostly developed open + low intensity, some medium/high",6
13057091007,2001,Mostly forest / some developed open + low intensity space,2
13057091007,2019,Mostly forest / some developed open + low intensity space,2
13057091008,2001,Mostly forest / some developed open + low intensity space,2
13057091008,2019,Mostly forest / some developed open + low intensity space,2
13057091101,2001,Mostly forest / some developed open + low intensity space,2
13057091101,2019,Mostly forest / some developed open + low intensity space,2
13057091102,2001,Mostly forest / some developed open + low intensity space,2
13057091102,2019,Mostly developed open + low intensity / some forest,3
13057091103,2001,Mostly forest / farmland,1
13057091103,2019,Mostly forest / some developed open + low intensity space,2
13063040202,2001,Mostly developed space (all intensities),7
13063040202,2019,Mostly medium to high intensity developed space,8
13063040203,2001,Mostly forest / some developed open + low intensity space,2
13063040203,2019,Mostly forest / some developed open + low intensity space,2
13063040204,2001,Mostly developed space (all intensities),7
13063040204,2019,Mostly developed space (all intensities),7
13063040302,2001,Mostly developed space (all intensities) / some forest,4
13063040302,2019,Mostly developed space (all intensities) / some forest,4
13063040303,2001,Mostly developed space (all intensities),7
13063040303,2019,Mostly developed space (all intensities),7
13063040306,2001,Mostly medium to high intensity developed space,8
13063040306,2019,Mostly medium to high intensity developed space,8
13063040307,2001,Mostly developed open + low intensity / some forest,3
13063040307,2019,"Mostly developed open + low intensity, little medium/high",5
13063040308,2001,Mostly medium to high intensity developed space,8
13063040308,2019,Mostly medium to high intensity developed space,8
13063040407,2001,Mostly developed space (all intensities) / some forest,4
13063040407,2019,Mostly developed space (all intensities),7
13063040408,2001,Mostly forest / some developed open + low intensity space,2
13063040408,2019,Mostly developed open + low intensity / some forest,3
13063040409,2001,"Mostly developed open + low intensity, some medium/high",6
13063040409,2019,"Mostly developed open + low intensity, some medium/high",6
13063040410,2001,Mostly developed space (all intensities) / some forest,4
13063040410,2019,Mostly developed space (all intensities) / some forest,4
13063040411,2001,Mostly forest / some developed open + low intensity space,2
13063040411,2019,Mostly forest / some developed open + low intensity space,2
13063040412,2001,Mostly developed space (all intensities),7
13063040412,2019,Mostly developed space (all intensities),7
13063040413,2001,Mostly developed open + low intensity / some forest,3
13063040413,2019,Mostly developed open + low intensity / some forest,3
13063040414,2001,Mostly developed space (all intensities),7
13063040414,2019,Mostly developed space (all intensities),7
13063040415,2001,Mostly developed space (all intensities),7
13063040415,2019,Mostly developed space (all intensities),7
13063040416,2001,Mostly developed open + low intensity / some forest,3
13063040416,2019,Mostly developed open + low intensity / some forest,3
13063040417,2001,Mostly developed space (all intensities),7
13063040417,2019,Mostly medium to high intensity developed space,8
13063040509,2001,Mostly developed open + low intensity / some forest,3
13063040509,2019,"Mostly developed open + low intensity, little medium/high",5
13063040510,2001,"Mostly developed open + low intensity, some medium/high",6
13063040510,2019,"Mostly developed open + low intensity, some medium/high",6
13063040512,2001,Mostly developed open + low intensity / some forest,3
13063040512,2019,Mostly developed open + low intensity / some forest,3
13063040513,2001,Mostly forest / some developed open + low intensity space,2
13063040513,2019,Mostly developed open + low intensity / some forest,3
13063040514,2001,Mostly developed open + low intensity / some forest,3
13063040514,2019,Mostly developed open + low intensity / some forest,3
13063040515,2001,Mostly developed open + low intensity / some forest,3
13063040515,2019,Mostly developed open + low intensity / some forest,3
13063040516,2001,"Mostly developed open + low intensity, some medium/high",6
13063040516,2019,"Mostly developed open + low intensity, some medium/high",6
13063040518,2001,"Mostly developed open + low intensity, little medium/high",5
13063040518,2019,Mostly developed open + low intensity / some forest,3
