year,county,quantile,dollars_2020_adjusted,moe
2010,Cherokee County,lower,748.8,21.599999999999998
2010,Cherokee County,median,933.5999999999999,20.4
2010,Cherokee County,upper,1160.3999999999999,27.599999999999998
2010,Clayton County,lower,693.6,12
2010,Clayton County,median,830.4,13.2
2010,Clayton County,upper,997.1999999999999,15.6
2010,Cobb County,lower,776.4,8.4
2010,Cobb County,median,925.1999999999999,7.199999999999999
2010,Cobb County,upper,1113.6,13.2
2010,DeKalb County,lower,742.8,6
2010,DeKalb County,median,915.6,8.4
2010,DeKalb County,upper,1131.6,12
2010,Douglas County,lower,723.6,20.4
2010,Douglas County,median,872.4,19.2
2010,Douglas County,upper,1062,26.4
2010,Fayette County,lower,849.6,22.8
2010,Fayette County,median,1044,42
2010,Fayette County,upper,1360.8,52.8
2010,Forsyth County,lower,811.1999999999999,97.2
2010,Forsyth County,median,1040.3999999999999,30
2010,Forsyth County,upper,1359.6,78
2010,Fulton County,lower,693.6,9.6
2010,Fulton County,median,927.5999999999999,7.199999999999999
2010,Fulton County,upper,1168.8,8.4
2010,Gwinnett County,lower,790.8,9.6
2010,Gwinnett County,median,948,7.199999999999999
2010,Gwinnett County,upper,1158,13.2
2010,Henry County,lower,801.6,27.599999999999998
2010,Henry County,median,970.8,28.799999999999997
2010,Henry County,upper,1159.2,22.8
2010,Rockdale County,lower,711.6,19.2
2010,Rockdale County,median,895.1999999999999,26.4
2010,Rockdale County,upper,1053.6,25.2
2020,Cherokee County,lower,852,35
2020,Cherokee County,median,1110,30
2020,Cherokee County,upper,1389,45
2020,Clayton County,lower,704,9
2020,Clayton County,median,824,9
2020,Clayton County,upper,960,11
2020,Cobb County,lower,882,10
2020,Cobb County,median,1094,11
2020,Cobb County,upper,1367,15
2020,DeKalb County,lower,820,8
2020,DeKalb County,median,1027,13
2020,DeKalb County,upper,1315,15
2020,Douglas County,lower,750,24
2020,Douglas County,median,934,22
2020,Douglas County,upper,1140,27
2020,Fayette County,lower,930,57
2020,Fayette County,median,1219,54
2020,Fayette County,upper,1544,118
2020,Forsyth County,lower,839,44
2020,Forsyth County,median,1280,45
2020,Forsyth County,upper,1702,42
2020,Fulton County,lower,785,12
2020,Fulton County,median,1098,14
2020,Fulton County,upper,1458,13
2020,Gwinnett County,lower,926,9
2020,Gwinnett County,median,1133,11
2020,Gwinnett County,upper,1378,16
2020,Henry County,lower,852,20
2020,Henry County,median,990,19
2020,Henry County,upper,1193,21
2020,Rockdale County,lower,761,22
2020,Rockdale County,median,881,20
2020,Rockdale County,upper,1092,47
