year,GEOID,county,variable,estimate,moe
2009,13013,Barrow County,total_pop,72158,0
2009,13013,Barrow County,pop_white,58100,1696
2009,13013,Barrow County,pop_baa,9591,1244
2009,13013,Barrow County,pop_aian,NA,NA
2009,13013,Barrow County,pop_asian,2791,347
2009,13013,Barrow County,pop_nhpi,NA,NA
2009,13013,Barrow County,pop_other_race,2063,1388
2009,13013,Barrow County,pop_foreign_born,6565,1688
2009,13013,Barrow County,median_rent,815,51
2009,13013,Barrow County,median_rent_income_percent,28.9,6.1
2009,13013,Barrow County,median_unit_value,137600,5673
2009,13013,Barrow County,median_household_income,50390,3460
2009,13015,Bartow County,total_pop,96217,0
2009,13015,Bartow County,pop_white,80520,1171
2009,13015,Bartow County,pop_baa,9346,1020
2009,13015,Bartow County,pop_aian,NA,NA
2009,13015,Bartow County,pop_asian,950,296
2009,13015,Bartow County,pop_nhpi,NA,NA
2009,13015,Bartow County,pop_other_race,5397,1351
2009,13015,Bartow County,pop_foreign_born,4678,769
2009,13015,Bartow County,median_rent,765,92
2009,13015,Bartow County,median_rent_income_percent,36.4,10.8
2009,13015,Bartow County,median_unit_value,140100,7139
2009,13015,Bartow County,median_household_income,59813,8567
2009,13045,Carroll County,total_pop,114778,0
2009,13045,Carroll County,pop_white,92721,1003
2009,13045,Carroll County,pop_baa,21206,590
2009,13045,Carroll County,pop_aian,580,467
2009,13045,Carroll County,pop_asian,1135,119
2009,13045,Carroll County,pop_nhpi,NA,NA
2009,13045,Carroll County,pop_other_race,874,667
2009,13045,Carroll County,pop_foreign_born,3927,1224
2009,13045,Carroll County,median_rent,762,53
2009,13045,Carroll County,median_rent_income_percent,37.7,4.9
2009,13045,Carroll County,median_unit_value,132100,12844
2009,13045,Carroll County,median_household_income,56799,6517
2009,13057,Cherokee County,total_pop,215084,0
2009,13057,Cherokee County,pop_white,194328,1462
2009,13057,Cherokee County,pop_baa,14331,367
2009,13057,Cherokee County,pop_aian,1762,288
2009,13057,Cherokee County,pop_asian,5427,498
2009,13057,Cherokee County,pop_nhpi,NA,NA
2009,13057,Cherokee County,pop_other_race,2689,1166
2009,13057,Cherokee County,pop_foreign_born,18651,2259
2009,13057,Cherokee County,median_rent,1003,74
2009,13057,Cherokee County,median_rent_income_percent,34.8,5.3
2009,13057,Cherokee County,median_unit_value,202800,8681
2009,13057,Cherokee County,median_household_income,75941,6223
2009,13063,Clayton County,total_pop,275772,0
2009,13063,Clayton County,pop_white,71685,4629
2009,13063,Clayton County,pop_baa,174551,4061
2009,13063,Clayton County,pop_aian,2481,1064
2009,13063,Clayton County,pop_asian,15143,805
2009,13063,Clayton County,pop_nhpi,NA,NA
2009,13063,Clayton County,pop_other_race,18034,3535
2009,13063,Clayton County,pop_foreign_born,36593,3068
2009,13063,Clayton County,median_rent,876,27
2009,13063,Clayton County,median_rent_income_percent,33.9,2.1
2009,13063,Clayton County,median_unit_value,120200,3277
2009,13063,Clayton County,median_household_income,52576,2812
2009,13067,Cobb County,total_pop,714692,0
2009,13067,Cobb County,pop_white,479782,6345
2009,13067,Cobb County,pop_baa,174605,3195
2009,13067,Cobb County,pop_aian,4984,1002
2009,13067,Cobb County,pop_asian,34439,1117
2009,13067,Cobb County,pop_nhpi,1053,1042
2009,13067,Cobb County,pop_other_race,34929,5959
2009,13067,Cobb County,pop_foreign_born,105969,6108
2009,13067,Cobb County,median_rent,944,20
2009,13067,Cobb County,median_rent_income_percent,29.7,1.5
2009,13067,Cobb County,median_unit_value,217200,4966
2009,13067,Cobb County,median_household_income,80846,2214
2009,13077,Coweta County,total_pop,127111,0
2009,13077,Coweta County,pop_white,102235,1217
2009,13077,Coweta County,pop_baa,23056,234
2009,13077,Coweta County,pop_aian,619,296
2009,13077,Coweta County,pop_asian,1970,296
2009,13077,Coweta County,pop_nhpi,NA,NA
2009,13077,Coweta County,pop_other_race,1484,905
2009,13077,Coweta County,pop_foreign_born,6266,1031
2009,13077,Coweta County,median_rent,921,44
2009,13077,Coweta County,median_rent_income_percent,28.1,4.4
2009,13077,Coweta County,median_unit_value,172700,8207
2009,13077,Coweta County,median_household_income,68733,5275
2009,13089,DeKalb County,total_pop,747274,0
2009,13089,DeKalb County,pop_white,281248,7423
2009,13089,DeKalb County,pop_baa,407429,2016
2009,13089,DeKalb County,pop_aian,4521,1114
2009,13089,DeKalb County,pop_asian,33995,863
2009,13089,DeKalb County,pop_nhpi,NA,NA
2009,13089,DeKalb County,pop_other_race,33817,6928
2009,13089,DeKalb County,pop_foreign_born,120285,6918
2009,13089,DeKalb County,median_rent,923,22
2009,13089,DeKalb County,median_rent_income_percent,31.4,1.3
2009,13089,DeKalb County,median_unit_value,188000,5220
2009,13089,DeKalb County,median_household_income,67349,2705
2009,13097,Douglas County,total_pop,129703,0
2009,13097,Douglas County,pop_white,78508,909
2009,13097,Douglas County,pop_baa,48192,558
2009,13097,Douglas County,pop_aian,676,576
2009,13097,Douglas County,pop_asian,2498,72
2009,13097,Douglas County,pop_nhpi,NA,NA
2009,13097,Douglas County,pop_other_race,979,584
2009,13097,Douglas County,pop_foreign_born,11850,1901
2009,13097,Douglas County,median_rent,831,53
2009,13097,Douglas County,median_rent_income_percent,29.2,2.9
2009,13097,Douglas County,median_unit_value,155600,7333
2009,13097,Douglas County,median_household_income,60851,4313
2009,13113,Fayette County,total_pop,106788,0
2009,13113,Fayette County,pop_white,78811,1432
2009,13113,Fayette County,pop_baa,22968,1588
2009,13113,Fayette County,pop_aian,1078,505
2009,13113,Fayette County,pop_asian,4933,319
2009,13113,Fayette County,pop_nhpi,NA,NA
2009,13113,Fayette County,pop_other_race,767,448
2009,13113,Fayette County,pop_foreign_born,9587,1426
2009,13113,Fayette County,median_rent,1064,147
2009,13113,Fayette County,median_rent_income_percent,33,5.8
2009,13113,Fayette County,median_unit_value,255700,11232
2009,13113,Fayette County,median_household_income,82159,5858
2009,13117,Forsyth County,total_pop,174520,0
2009,13117,Forsyth County,pop_white,152467,3114
2009,13117,Forsyth County,pop_baa,6901,173
2009,13117,Forsyth County,pop_aian,1526,615
2009,13117,Forsyth County,pop_asian,9689,296
2009,13117,Forsyth County,pop_nhpi,NA,NA
