data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7875833,48,BHR1809,1809,"30 August 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition; Shiite Muslim Group (Bahrain)",5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Maamir",26.1333,50.6086,1,"14 February Revolution Youth Coalition",Other,"On 30 August 2019, Shiite anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Maamir with burning tyres. The February 14 Youth Coalition is currently denouncing the removal of banners related to Muharram mourning ceremony by security forces. [size=no report]",0,1618859402,BHR
7884284,48,BHR1808,1808,"29 August 2019",2019,1,Riots,"Violent demonstration","Police Forces of Bahrain (1999-)",,1,"Rioters (Bahrain)","Shiite Muslim Group (Bahrain); February 14 Youth Coalition",5,15,"Middle East",Bahrain,Northern,,,Karzakkan,26.1156,50.4819,1,"14 February Revolution Youth Coalition",Other,"29 August. Security forces removed banners related to Muharram mourning ceremony from Karzakkan, leading to clashes between Shiites citizens and police forces that used tear gas to disperse the crowd. [size=no report]",0,1618873889,BHR
7876324,48,BHR1807,1807,"26 August 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,"Police Forces of Bahrain (1999-)",,1,15,"Middle East",Bahrain,Northern,,,"Bu Quwa",26.2047,50.52,1,"Al Wafa",Other,"On 26 August 2019, anti-regime rioters in Bu Quwa threw Molotov cocktails at security forces in Bu Quwa. [size=no report]",0,1618859403,BHR
6060136,48,BHR1804,1804,"24 August 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Karbabad,26.2303,50.5294,1,"Al Wafa","New media","24 August. A protest was held in Musalla in solidarity with more than 600 prisoners on hunger strike in two Bahraini Prisons. [size=no report]",0,1571164548,BHR
7876323,48,BHR1805,1805,"24 August 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,"Police Forces of Bahrain (1999-)",,1,15,"Middle East",Bahrain,Northern,,,"Bu Quwa",26.2047,50.52,1,"Al Wafa",Other,"On 24 August 2019, anti-regime rioters in Bu Quwa threw Molotov cocktails at security forces. [size=no report]",0,1618859403,BHR
7876445,48,BHR1806,1806,"24 August 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Muqsha",26.2197,50.5231,1,"Al Wafa",Other,"On 24 August 2019, as a sign of solidarity with 600 prisoners on hunger strike, anti-regime rioters blocked a street in Muqsha with burning trash containers . [size=no report]",0,1618859403,BHR
6052893,48,BHR1800,1800,"23 August 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,"Ash Shakhurah",26.2147,50.5069,1,"Abusaiba Media","New media","23 August. A protest was held in Shakhurah in solidarity with more than 600 prisoners on hunger strike in two Bahraini Prisons. [size=no report]",0,1571164539,BHR
6060094,48,BHR1798,1798,"23 August 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,"Al Musalla",26.2122,50.5372,1,"Al Wafa","New media","23 August. A protest was held in Karbabad in solidarity with more than 600 prisoners on hunger strike in two Bahraini Prisons. [size=no report]",0,1571164548,BHR
7875784,48,BHR1803,1803,"23 August 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Musalla",26.2122,50.5372,1,"14 February Revolution Youth Coalition",Other,"On 23 August 2019, as a sign of solidarity with 600 prisoners on hunger strike, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Musalla with burning trash containers . [size=no report]",0,1618859402,BHR
7875971,48,BHR1801,1801,"23 August 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,"14 February Revolution Youth Coalition",Other,"On 23 August 2019, as a sign of solidarity with 600 prisoners on hunger strike, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Nuwaidrat with burning tyres. [size=no report]",0,1618859403,BHR
7875975,48,BHR1802,1802,"23 August 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,Karbabad,26.2303,50.5294,1,"14 February Revolution Youth Coalition",Other,"On 23 August 2019, as a sign of solidarity with 600 prisoners on hunger strike, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Karbabad with burning tyres. [size=no report]",0,1618859403,BHR
8749792,48,BHR1799,1799,"23 August 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"LuaLua TV",National,"23 August. A protest was held in Abu Saybi in solidarity with more than 600 prisoners on hunger strike in two Bahraini Prisons. [size=no report]",0,1641867732,BHR
