,date,fips,recip_county,recip_state,one_dose_pop,two_dose_pop,county_pop_size
0,2021-04-09,13239,Quitman County,GA,9.7,6.2,2299.0
1,2021-04-09,13209,Montgomery County,GA,12.6,8.3,9172.0
2,2021-04-09,27161,Waseca County,MN,42.2,27.0,18612.0
3,2021-04-09,15009,Maui County,HI,0.0,0.0,167417.0
4,2021-04-09,UNK,Unknown County,MD,0.0,0.0,
5,2021-04-09,26111,Midland County,MI,47.3,28.4,83156.0
6,2021-04-09,30005,Blaine County,MT,77.5,63.8,6681.0
7,2021-04-09,39121,Noble County,OH,27.2,22.3,14424.0
8,2021-04-09,21217,Taylor County,KY,35.8,21.0,25769.0
9,2021-04-09,19123,Mahaska County,IA,35.2,24.6,22095.0
10,2021-04-09,05107,Phillips County,AR,34.7,22.2,17782.0
11,2021-04-09,48213,Henderson County,TX,0.0,0.0,82737.0
12,2021-04-09,05109,Pike County,AR,32.9,18.8,10718.0
13,2021-04-09,36051,Livingston County,NY,39.7,25.4,62914.0
14,2021-04-09,12027,DeSoto County,FL,28.4,15.9,38001.0
15,2021-04-09,29053,Cooper County,MO,34.5,25.6,17709.0
16,2021-04-09,45017,Calhoun County,SC,28.4,18.8,14553.0
17,2021-04-09,06063,Plumas County,CA,0.0,0.0,18807.0
18,2021-04-09,51530,Buena Vista city,VA,0.0,0.0,6478.0
19,2021-04-09,45051,Horry County,SC,42.6,28.4,354081.0
20,2021-04-09,48071,Chambers County,TX,0.0,0.0,43837.0
21,2021-04-09,45043,Georgetown County,SC,45.3,31.6,62680.0
22,2021-04-09,31065,Furnas County,NE,0.0,26.9,4676.0
23,2021-04-09,20171,Scott County,KS,39.7,34.2,4823.0
24,2021-04-09,22065,Madison Parish,LA,26.8,19.9,10951.0
25,2021-04-09,09005,Litchfield County,CT,51.8,34.7,180333.0
26,2021-04-09,38025,Dunn County,ND,21.4,14.6,4424.0
27,2021-04-09,48397,Rockwall County,TX,0.0,0.0,104915.0
28,2021-04-09,19021,Buena Vista County,IA,47.9,38.4,19620.0
29,2021-04-09,27149,Stevens County,MN,44.8,29.5,9805.0
30,2021-04-09,01109,Pike County,AL,26.4,16.8,33114.0
31,2021-04-09,54009,Brooke County,WV,17.3,13.9,21939.0
32,2021-04-09,72001,Adjuntas Municipio,PR,26.5,16.7,17363.0
33,2021-04-09,48051,Burleson County,TX,0.0,0.0,18443.0
34,2021-04-09,21137,Lincoln County,KY,31.2,20.5,24549.0
35,2021-04-09,46035,Davison County,SD,0.0,17.5,19775.0
36,2021-04-09,46013,Brown County,SD,48.1,31.7,38839.0
