hospital_pk,hospital_name,collection_week,state,fips_code,geocoded_hospital_address,no_dose_personnel,one_dose_personnel,two_dose_personnel,data_reported,correct_coding,total_personnel,percentage_unvacc,std_error,personnel_iqr,personnel_lbd,personnel_ubd,possible_incorrect_count,recip_county,recip_state,one_dose_pop,two_dose_pop,county_pop_size,percentage_unvacc_county,std_error_away_from_count_pop
122001,LEAHI HOSPITAL,2021-04-09,HI,15003,"{'type': 'Point', 'coordinates': [-157.801209, 21.273675]}",0,0,13,1,0,13,0,0,0,13,13,0,Honolulu County,HI,0,0,974563,1,-Inf
320084,ROOSEVELT GENERAL HOSPITAL,2021-04-09,NM,35041,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,299,363,NA,Roosevelt County,NM,0,12.7,18500,1,NA
452108,DALLAS LTACH LLC,2021-04-09,TX,48113,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,116.5,248.5,NA,Dallas County,TX,0,0,2635516,1,NA
670093,ASPIRE HOSPITAL,2021-04-09,TX,48339,"{'type': 'Point', 'coordinates': [-95.480131, 30.284069]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montgomery County,TX,0,0,607391,1,NA
451309,MCCAMEY HOSPITAL,2021-04-09,TX,48461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upton County,TX,0,0,3657,1,NA
330409,THE BURDETT CARE CENTER,2021-04-09,NY,36083,"{'type': 'Point', 'coordinates': [-73.671434, 42.733395]}",0,55,55,1,1,55,0,0,0,55,55,0,Rensselaer County,NY,46.8,32.2,158714,0.532,-Inf
171324,SATANTA DISTRICT HOSPITAL,2021-04-09,KS,20081,NA,10,0,11,1,0,21,0.47619047619047616,0.10898516862311035,1,19.5,23.5,0,Haskell County,KS,33.3,28.9,3968,0.667,-1.7507843151518752
373300,J D MCCARTY CENTER FOR CHILDREN,2021-04-09,OK,40027,"{'type': 'Point', 'coordinates': [-97.410016, 35.232743]}",39,0,225,1,0,264,0.14772727272727273,0.021838241897324074,44,163,339,0,Cleveland County,OK,40.5,28.2,284014,0.595,-20.481169197394657
190256,STERLING SURGICAL HOSPITAL,2021-04-09,LA,22103,"{'type': 'Point', 'coordinates': [-89.769406, 30.290776]}",125,276,329,1,0,454,0.2753303964757709,0.02096375985904957,0,454,454,0,St. Tammany Parish,LA,42.5,31.1,260419,0.575,-14.29464969733798
370139,STILLWATER MEDICAL - PERRY,2021-04-09,OK,40103,"{'type': 'Point', 'coordinates': [-97.299224, 36.288591]}",50,26,24,1,1,76,0.6578947368421053,0.054419091570296785,3,70.5,82.5,0,Noble County,OK,47.6,34.4,11131,0.524,2.460436824255776
